GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-35,210,-23,26357,25996,32435,28470,31181,0
78,59,-40,26357,26150,32666,28470,31119,0
15,-4,-5,26305,26228,32799,28470,31276,0
12,65,-23,26331,26305,32866,28414,31307,0
-19,19,-16,26435,26331,32966,28583,31213,0
-102,-138,6,26435,26644,33067,28498,31402,0
-8,-24,0,26305,26723,33067,28498,31307,0
-87,-111,22,26228,26749,33033,28612,31087,0
-81,-95,19,26305,26776,32932,28527,31150,0
77,-125,7,26022,26935,32932,28442,31119,0
-19,-194,29,26124,26749,33134,28414,31056,0
-78,-47,9,26176,26802,33033,28301,30900,0
-23,17,2,26022,26644,32832,28414,30684,0
13,54,-24,25996,27015,33611,28470,30994,0
-48,-2,5,25894,27202,33921,28869,30962,0
-64,-43,0,25894,27256,34235,29158,31025,0
-40,9,2,25894,27256,34376,28927,30962,0
16,-2,-15,25666,26855,33508,28640,30715,0
-3,73,0,25691,26305,32999,28301,30715,0
11,128,-25,25616,26099,32402,27994,30499,0
54,76,-2,25616,26022,32402,28049,30499,0
7,69,-8,25616,25894,32435,28133,30469,0
-4,24,22,25291,25894,32435,28022,30622,0
23,-54,7,24727,26047,32832,28189,30591,0
-41,-60,6,24129,26150,33067,28217,30622,0
-10,-30,-8,23707,26409,32999,28329,30715,0
43,-57,30,25118,26331,32765,27994,30530,0
23,-33,23,26618,26202,32435,27966,30347,0
-20,-59,15,26409,26022,32108,27856,30105,0
-53,-43,25,26124,25894,32010,27499,29479,0
-59,-61,17,25894,25843,31978,26935,28583,0
76,-52,-7,25793,25920,31688,26697,28527,0
60,71,-16,25742,25742,31593,27175,29333,0
-35,43,-1,25691,25341,31465,27911,30105,0
-6,-12,6,25742,25216,31849,27966,30256,0
38,3,-12,25818,25192,32010,28245,30530,0
-12,-19,12,25793,24995,31978,28245,30438,0
18,-8,0,25894,24995,32173,28385,30226,0
14,21,-13,25945,25390,32666,28470,30962,0
3,-1,2,26124,25945,32832,28640,31244,0
106,-39,-31,26099,25894,32799,28640,31087,0
16,-20,6,26073,25996,33033,28527,30838,0
0,25,9,26124,26150,33439,28754,30745,0
-25,5,-14,25996,26539,34026,28470,30377,0
-9,12,-1,26124,26723,34341,28527,30591,0
-47,-37,3,25920,26749,34165,28498,30530,0
0,-7,6,25945,26697,33956,28527,30438,0
20,24,-14,25894,26539,33921,28927,31624,0
-7,18,0,25894,26566,33748,28840,31817,0
-18,64,1,25971,26228,33371,28840,32699,0
62,40,-22,25920,26099,33168,28754,32599,0
-34,-8,-2,25971,25869,32832,28527,32010,0
-32,-16,12,25894,26253,33033,28583,31402,0
-10,-29,14,25818,26435,33100,28583,31402,0
1,43,-4,25894,26357,33405,28527,31339,0
22,14,11,25945,26566,33371,28555,31465,0
23,22,-13,25945,26409,33236,28414,31593,0
-13,10,6,26566,26202,33337,28555,31339,0
-21,-15,32,27609,26150,33269,28414,31402,0
12,20,10,27828,26202,33202,28414,31339,0
0,30,50,27966,26150,33269,28414,31213,0
32,46,19,28385,26150,32932,28583,31339,0
57,-29,-21,28414,26099,33067,28498,31087,0
37,8,7,28245,26124,33100,28470,31307,0
22,-81,-24,27581,26202,33100,28385,31119,0
-12,11,4,27148,26513,33033,28555,30962,0
-3,-4,25,26961,26644,33202,28583,31087,0
-85,9,83,26618,26644,33542,28470,30994,0
-183,0,62,26723,26961,34060,28812,30994,0
73,-28,-33,26749,27148,34306,28783,31593,0
32,34,-11,26749,26988,34165,28869,31593,0
31,30,-34,26618,27068,34026,28583,31720,0
12,-8,0,26723,27310,34271,28583,31434,0
-10,-1,-14,26697,27256,34235,28754,31720,0
-61,-69,18,26618,26882,33679,28640,31150,0
0,-21,7,26461,26749,33439,28470,30994,0
63,74,-20,26723,26383,33269,28470,30900,0
43,81,-3,26723,26099,32966,28414,30776,0
-18,24,-10,26644,26150,32866,28217,30622,0
37,5,-15,26749,25971,32765,28301,30684,0
2,62,-13,26644,25843,32435,28527,30591,0
27,70,-19,26723,25691,32075,28640,30165,0
83,113,-34,26829,25666,32010,28189,30105,0
71,258,-95,27229,25390,31881,28022,30408,0
45,-53,-65,27175,25415,31688,27581,30469,0
-13,-65,-8,26988,25291,31624,27527,30226,0
62,77,-14,26961,25540,31465,27202,30075,0
3,-10,-20,26855,25515,31434,27148,30045,0
5,-20,18,26829,25565,31244,27068,29984,0
19,-13,-6,26855,25691,30962,26882,29984,0
7,-19,18,26935,25793,31213,26935,29686,0
-23,-55,-12,26670,25691,30745,26644,29450,0
-11,-10,2,26723,25341,30622,26723,29657,0
25,8,-3,26592,25440,30776,26723,29421,0
8,33,12,26618,25465,31119,27283,30226,0
-15,-20,-2,26618,25490,31025,27202,30015,0
8,6,-6,26513,25591,30962,27256,29775,0
27,-22,-3,26566,25666,31150,27068,29775,0
-9,-25,3,26566,25591,30962,26935,29686,0
-10,-7,-13,26513,25390,30469,26829,29568,0
29,3,-15,26513,25291,30347,26776,29362,0
0,-5,9,26461,25142,30317,26697,29245,0
1,36,3,26461,25266,30499,26670,29509,0
19,-8,1,26566,25142,30499,26566,29391,0
3,-40,11,26409,25266,30499,26513,29333,0
-29,-22,19,26383,25142,30347,26487,29509,0
2,7,-6,26357,25216,30530,26670,29187,0
7,6,2,26409,25241,30347,26697,29333,0
16,-25,3,26331,25142,30256,26644,29274,0
-17,-8,-17,26409,25118,30195,26409,29042,0
-5,5,-13,26487,24824,30015,26228,28927,0
21,11,-16,26435,24534,29746,26150,28927,0
52,129,-8,26461,24630,29657,26176,28898,0
-3,26,5,26513,24921,30256,26566,29274,0
10,15,7,26435,25019,30408,26855,29538,0
-18,-43,-14,26383,24970,30226,26618,29509,0
9,13,-2,26357,24897,30045,26409,29274,0
48,42,-31,26409,24897,29925,26305,29333,0
36,39,-8,26435,24995,29925,26331,29509,0
-15,-6,1,26461,24995,29925,26409,29274,0
-27,-38,9,26253,24848,29955,26409,29421,0
-9,-12,13,26357,24921,30045,26566,29304,0
-15,-25,1,26409,24824,29865,26383,29245,0
-9,0,3,26357,24799,29805,26202,29216,0
11,17,3,26487,24751,29509,26099,29042,0
13,-8,-1,26305,24702,29421,26022,28927,0
18,22,-21,26409,24438,29274,26124,29274,0
46,48,-21,26461,24366,28955,25971,29421,0
36,10,-28,26305,24294,28640,26022,29686,0
-22,-23,-16,26357,24366,28498,25894,29657,0
-37,-40,4,26279,24486,28612,25666,29100,0
-16,-13,-1,26357,24606,28527,25490,28840,0
-20,1,12,26305,24414,28301,25167,28555,0
-2,-34,-1,26409,24486,28105,25093,28527,0
-1,49,-3,26331,24510,28217,25490,28697,0
-25,-4,0,26409,24582,28301,25415,28955,0
-2,-12,-2,26331,24630,28301,25591,28726,0
-6,-1,5,26357,24606,28555,25490,28754,0
2,5,-9,26253,24630,28527,25641,28726,0
15,-22,8,26305,24606,28329,25365,28612,0
11,15,6,26331,24462,28357,25316,28697,0
18,2,6,26305,24606,28470,25291,28697,0
-14,2,3,26124,24630,28385,25515,28583,0
20,-2,-5,26305,24438,28301,25291,28498,0
26,11,-2,26228,24438,28022,25216,28385,0
6,12,-1,26409,24271,28161,25044,28442,0
-14,-6,34,26357,24129,27911,24897,28414,0
43,102,7,26461,24176,27939,25167,28555,0
3,113,36,26855,24462,29895,26383,29304,0
-89,116,85,26935,24727,30591,26829,29657,0
-339,183,318,26829,24630,30591,26882,30045,0
-677,160,301,26829,25717,32173,27800,30962,0
-500,142,272,27041,26988,33817,28697,30745,0
79,135,-80,27095,28357,36047,29865,30591,0
211,91,4,28470,29657,39077,31624,31593,0
-506,-324,487,30931,30226,39705,31624,33303,0
120,56,173,31244,29984,39244,31785,33508,0
153,-159,78,31181,29775,38503,31785,33748,0
76,142,-63,30715,29686,38463,31978,33887,0
90,18,-36,30530,29746,38100,31978,33991,0
144,29,-76,30165,29686,38220,31978,33991,0
26,-19,-4,30165,29657,37860,31624,33714,0
53,33,-17,30165,29479,37900,31752,33645,0
28,-9,-28,29925,29450,37940,31465,33439,0
-11,-25,-7,29895,29274,37583,31593,33371,0
4,33,-24,29746,29274,37386,31529,33337,0
30,11,0,29657,29304,37465,31402,33236,0
1,0,-6,29746,29071,37622,31244,33236,0
-16,-13,1,29686,29100,37426,31213,33474,0
-19,-20,6,29686,29216,37269,31150,33337,0
-54,-37,1,29450,29071,37114,31213,33168,0
-51,16,12,29391,29042,37269,31119,33168,0
-30,40,-24,29391,28927,37230,31244,33337,0
-52,19,-41,29304,29129,37269,30994,33100,0
-40,-24,-152,29158,29071,37230,30962,33202,0
-96,-122,-168,29158,29071,37114,30962,33202,0
-70,-53,-223,29158,28927,36920,31119,32966,0
125,-161,-257,29304,28927,36998,31181,32832,0
589,-298,-469,29538,28869,37191,31087,33067,0
386,90,-123,29746,28955,37075,30900,32899,0
435,28,-109,29925,29071,37308,30931,33033,0
159,-185,-364,30469,28955,36998,31087,32932,0
139,-149,-289,30469,28984,37269,30869,33033,0
124,11,-533,30469,29042,37036,30838,33100,0
21,103,-194,30347,28984,37269,30900,33067,0
141,124,30,29746,28955,36998,31087,32899,0
143,0,76,29657,28927,37075,30994,32932,0
120,-7,-14,29746,29100,37191,30776,32765,0
163,21,16,29597,29042,37191,31150,33033,0
237,40,-132,29835,28984,37230,31087,32765,0
66,15,-150,29895,29042,37075,30838,32932,0
57,-93,-60,29895,29013,37114,30962,32932,0
42,-66,-5,29775,28869,36920,31025,32899,0
410,-72,-144,30165,28869,36998,30807,32765,0
138,104,-82,30499,29013,37230,30962,32932,0
-73,25,40,30962,29042,37114,30994,32732,0
-44,6,47,30900,28984,37114,30838,32999,0
-219,95,124,30530,29042,36805,30653,32765,0
-894,141,245,30045,28927,36614,30776,32666,0
-614,53,134,30499,29071,36959,30776,32699,0
-58,127,26,31087,28898,36920,30745,32666,0
180,32,-85,31529,28927,36920,30745,32633,0
62,68,-71,31978,28783,36728,30776,32566,0
106,-17,-52,31497,28527,36767,31056,32500,0
17,41,-34,30745,28357,36462,31213,32500,0
196,23,-24,30591,28161,35935,30838,32633,0
94,-193,-93,30499,26150,33748,31244,32271,0
205,-265,22,32271,23847,31150,30653,31720,0
-42,-76,-15,31087,21167,28385,30256,31119,0
34,-56,10,30347,19573,26618,30045,30776,0
214,-20,-68,29627,19401,26022,29746,30715,0
90,-13,-20,29775,19766,26124,29775,30622,0
-41,32,0,29538,21002,27364,29686,30745,0
-125,3,54,29746,21754,28470,29657,30622,0
-30,-22,20,30165,22466,29304,29865,30838,0
-26,21,17,30347,22865,30165,30045,30715,0
19,18,-26,29955,22643,30015,29984,30622,0
-4,57,6,29865,22709,29895,29984,30869,0
-112,-72,-65,29421,20859,29013,29805,30438,0
-36,-77,-35,30165,18672,27883,29686,30438,0
41,-208,24,33439,15443,27041,29362,29925,0
219,-275,-1,33887,14488,26988,29333,29805,0
-46,231,87,34412,15304,26749,29450,29984,0
62,27,24,37820,16815,27229,29304,30165,0
23,19,27,39160,17600,28470,29274,29984,0
45,7,4,40002,18075,30408,29158,30286,0
5,-1,3,39917,18147,30622,29304,30135,0
0,40,-15,39663,18344,31276,29538,30377,0
-27,27,4,39494,18435,31339,29333,30286,0
-13,-15,13,39663,18344,31497,29627,30377,0
-3,24,12,39747,18344,31624,29568,30591,0
7,32,0,39832,18489,31624,29805,30684,0
-14,-13,15,40173,18783,32303,29746,30530,0
20,7,-7,40302,19212,32500,29775,30499,0
24,3,-7,40088,19249,32402,29746,30469,0
-4,-33,2,39960,19268,32271,29805,30715,0
-13,-22,14,39832,19174,32238,29805,30684,0
-17,-31,15,39790,19193,32303,29805,30499,0
17,-15,-1,39494,19155,32043,29686,30377,0
-10,-32,22,39536,19306,32238,29657,30438,0
7,5,-7,39536,19231,32205,29805,30591,0
-4,24,7,39285,19231,32173,29597,30591,0
16,-3,6,39411,19306,32010,29479,30530,0
16,10,3,39327,19420,32238,29509,30377,0
-2,15,10,39369,19401,32303,29746,30347,0
10,13,7,39244,19325,32271,29450,30653,0
4,-12,8,39119,19363,32271,29450,30622,0
-25,16,-4,39077,19401,32108,29627,30622,0
-14,9,6,39119,19420,32108,29450,30499,0
-4,-1,4,39244,19458,32271,29627,30653,0
19,1,-6,39244,19382,32205,29568,30591,0
-16,16,-1,39285,19535,32043,29538,30530,0
10,0,1,39244,19592,32108,29538,30408,0
8,1,-1,39202,19669,32402,29716,30408,0
10,0,1,39077,19573,32108,29686,30653,0
-18,-20,2,38995,19727,32140,29391,30653,0
0,-5,3,39244,19727,32369,29686,30347,0
-16,1,14,39077,19708,32173,29686,30561,0
15,-1,-13,39036,19669,32402,29421,30377,0
8,26,3,39369,19689,32140,29509,30684,0
-26,19,4,39244,19746,32238,29657,30499,0
18,5,-5,39244,19746,32173,29509,30684,0
35,-4,-14,39244,19805,32140,29657,30591,0
11,13,14,38995,19766,32369,29450,30530,0
11,-10,0,39036,19843,32140,29362,30530,0
11,3,4,39369,19902,32369,29686,30469,0
-5,0,-9,39160,19824,32435,29627,30438,0
7,5,-5,39036,19921,32402,29391,30347,0
-4,-7,-8,39494,19902,32271,29686,30591,0
11,10,-6,39119,19882,32173,29391,30469,0
13,6,3,38995,19843,32238,29627,30469,0
5,4,4,38912,19882,32173,29568,30377,0
5,0,-4,39160,19863,32238,29627,30469,0
27,24,-21,39036,19999,32303,29627,30591,0
14,-20,-4,39077,19999,32205,29391,30499,0
27,-5,-30,39244,19863,32271,29391,30377,0
3,-72,14,38871,19843,32010,29538,30347,0
-32,-2,-32,38301,18417,31339,29333,30286,0
-96,86,-60,36614,17933,30715,29274,30226,0
-49,3,-31,34839,17392,30745,29187,30256,0
7,62,-17,34200,17357,30622,29245,30015,0
-37,49,-14,30438,17513,30591,29274,30165,0
-37,51,14,30105,17862,30622,29158,30075,0
-25,28,15,29865,19231,31465,29304,30165,0
-114,31,50,29391,21146,33508,29158,30377,0
39,46,79,29450,23638,35861,29391,31150,0
43,68,100,30075,26150,38585,29835,31752,0
110,215,-19,31370,27828,39285,29746,32010,0
27,25,10,31561,27828,38912,29597,31785,0
-27,-42,11,31244,27527,38544,29657,31913,0
-27,-81,-4,30900,27283,38059,29479,31817,0
49,-42,-2,30377,27095,37860,29391,31849,0
13,-2,5,30377,26988,37940,29450,31656,0
50,8,-1,30347,26776,37940,29479,31913,0
9,-1,-7,30256,26829,37860,29568,31720,0
-2,13,4,30408,26802,37781,29391,31946,0
-5,-1,-1,30286,26723,37465,29627,31913,0
36,88,-14,30226,26513,37269,29450,31849,0
30,2,-6,30347,26409,37191,29391,32043,0
16,9,-1,30165,26566,37191,29479,31688,0
6,-5,-3,30105,26228,37114,29479,31849,0
28,-4,-2,30135,26124,37114,29450,31913,0
-7,9,-14,30195,25971,37075,29627,31720,0
21,-3,-7,29984,26022,36805,29627,31720,0
-5,-8,9,29955,25945,36728,29597,31785,0
-10,-18,7,29984,25945,36690,29597,31529,0
10,11,-6,29895,25843,36920,29627,31785,0
-1,7,1,30015,25920,36690,29568,31529,0
118,-1,-27,30135,25742,36690,29479,31849,0
44,1,-46,30075,25691,36614,29391,31370,0
-372,41,-134,30226,25691,36767,29984,30900,0
-125,250,-77,30317,25440,37701,30530,30015,0
-160,83,-73,30165,25540,38666,30994,29568,0
73,-148,10,30165,26776,39119,31370,29421,0
10,-171,114,30530,28301,39369,31465,29479,0
434,-276,312,33269,29568,39411,32369,31465,0
61,314,91,35272,30165,40173,33645,33714,0
153,-60,2,35492,29627,39747,33371,33783,0
95,10,-34,35236,29509,39874,33303,33542,0
-36,32,19,35127,29450,39452,33100,33474,0
-107,-81,18,34696,29158,39621,32832,33067,0
-36,-30,6,34447,29158,39244,32932,33168,0
-17,-10,2,34271,29100,39160,32666,33033,0
-63,-18,6,34095,28927,39244,32633,33236,0
-27,2,-13,33783,28869,38995,32599,33033,0
-24,-26,12,33852,28984,39160,32633,32932,0
-4,-19,13,33576,28754,39244,32699,33067,0
-37,-2,15,33508,28840,39077,32765,32966,0
-1,-22,-4,33371,28754,38995,32633,33067,0
9,-20,11,33269,28697,38995,32765,32832,0
32,4,-10,33303,28697,38748,32435,32932,0
-5,21,10,33168,28697,38830,32467,32866,0
-11,-36,0,33303,28527,38830,32599,32633,0
28,23,-18,33168,28583,38625,32500,32633,0
5,19,-12,33236,28498,38503,32435,32899,0
-25,9,10,33100,28442,38625,32467,32699,0
9,-22,0,33033,28442,38666,32533,32666,0
70,-53,0,33100,28442,38382,32699,32866,0
16,30,-13,32866,28245,38301,32633,32500,0
-24,-19,3,32932,28189,38503,32732,32633,0
29,11,-4,32765,28357,38544,32666,32832,0
0,8,-5,33033,28189,38422,32699,32566,0
-8,-13,-2,32799,28189,38382,32566,32500,0
-8,-5,-2,32966,28301,38260,32699,32533,0
12,-4,16,33033,28161,38260,32303,32500,0
-2,-4,9,32932,28161,38100,32369,32566,0
1,1,-8,32832,28301,38422,32500,32765,0
20,-2,7,32799,28245,38341,32402,32699,0
30,-12,-16,32832,28077,38059,32369,32533,0
48,-17,9,32799,28022,38019,32500,32799,0
57,28,-78,32666,28245,38059,32633,32765,0
-42,28,-28,32799,28105,38341,32369,32500,0
-17,-28,-5,32666,28189,38341,32369,32533,0
2,-5,14,32765,28161,38220,32369,32666,0
-7,4,8,32765,28133,38180,32533,32633,0
-14,-17,-8,32699,27966,38341,32566,32500,0
-12,63,74,32765,27939,38301,32500,32435,0
-8,-23,47,32633,28133,38180,32402,32435,0
34,-68,55,32500,28133,38180,32303,32699,0
4,-51,24,32435,28022,38220,32303,32732,0
-23,-60,27,32271,27939,38180,32205,32435,0
-14,-15,52,32435,28022,38140,32500,32566,0
53,43,100,32369,27800,38059,32271,32402,0
-14,-61,15,32303,27966,37980,32500,32500,0
43,60,45,32238,27994,38019,32271,32369,0
91,207,166,32140,27856,37860,32303,32500,0
101,1,135,32173,27911,38019,32500,32402,0
135,116,70,32303,27718,37701,32402,32435,0
166,121,77,32140,27856,37940,32402,32369,0
86,-11,39,31978,27691,37940,32303,32303,0
-36,-93,-54,32043,27773,37701,32435,32599,0
27,-75,-78,31849,27636,37701,32500,32369,0
-14,-68,-80,32043,27856,37622,32369,32566,0
-112,-28,-115,32108,27828,37860,32238,32566,0
-73,-3,-57,31913,27828,37504,32173,32303,0
8,-19,-24,31978,27691,37583,32435,32303,0
13,-1,-32,32108,27691,37860,32173,32369,0
-11,-40,-10,31978,27691,37741,32303,32173,0
-5,-18,20,31946,27800,37543,32173,32500,0
-16,27,-12,31720,27773,37741,32205,32500,0
-14,-17,-29,31881,27636,37622,32467,32369,0
-47,-18,-31,31656,27718,37662,32238,32533,0
-43,78,-73,31752,27663,37386,32173,32533,0
-37,31,-24,31370,27691,37308,32173,32666,0
-27,-26,19,30838,27581,37583,32043,32566,0
-52,-134,23,30776,27499,37426,32271,32173,0
-66,-222,12,30408,27691,37347,32369,32108,0
-309,-123,114,30045,27472,37347,32173,31752,0
-186,-127,77,29538,27337,37308,32402,31849,0
-33,-175,-5,28812,27148,37543,32075,31752,0
-132,-225,109,28414,27418,37386,32108,31497,0
-23,-12,49,28527,28022,37820,31849,31656,0
99,151,-13,28470,27911,37465,31946,31276,0
-2,36,49,28273,27636,37308,32010,31688,0
10,10,14,28697,27581,37386,32010,31593,0
-1,21,8,28442,27636,37075,31720,31465,0
22,-14,4,28583,27527,37114,31752,31785,0
23,18,-21,28527,27527,37114,31849,31529,0
-11,-1,8,28583,27581,36998,31978,31720,0
-12,35,-10,28612,27418,37075,31785,31688,0
10,32,-21,28812,27445,36882,31785,31688,0
36,-36,21,28955,27472,36920,31881,31978,0
32,-6,-8,28869,27391,36805,31849,31978,0
29,29,-53,28869,27337,36959,31656,32043,0
-3,-1,3,28955,27418,37075,31849,32010,0
2,-8,13,28812,27554,36805,31720,31720,0
-37,28,-23,28927,27472,36690,31849,31720,0
-4,46,-8,28869,27472,36998,31656,31656,0
-10,8,55,28812,27391,36959,31785,31688,0
-7,8,14,29042,27418,36728,31624,31720,0
-124,146,-63,28955,27337,36805,31752,31561,0
32,-4,-23,29042,27418,36767,31465,31656,0
6,-41,43,29071,27391,36576,31465,31656,0
-2,-42,3,29071,27418,36728,31752,31752,0
11,-16,3,29129,27364,36499,31624,31752,0
-23,-12,-6,29042,27202,36614,31465,31720,0
-1,14,-4,28955,27202,36805,31624,31785,0
0,14,-22,29042,27364,36767,31593,31561,0
8,-12,15,29042,27364,36767,31624,31624,0
17,-18,3,28984,27310,36690,31529,31497,0
-9,10,16,29042,27256,36462,31561,31656,0
3,-13,-17,29158,27364,36614,31529,31593,0
-15,4,-2,29100,27364,36767,31497,31529,0
0,-19,1,29071,27175,36462,31624,31817,0
5,5,6,29042,27337,36767,31529,31720,0
15,-9,-4,29071,27310,36767,31624,31497,0
-12,-19,24,29071,27283,36728,31688,31624,0
-6,-30,-21,29274,27256,36614,31434,31529,0
2,46,21,29274,27202,36614,31402,31593,0
31,27,88,29216,27202,36462,31370,31434,0
-1,7,19,29274,27175,36499,31370,31752,0
-15,56,20,29071,27175,36690,31370,31465,0
9,-71,-12,29042,27337,36728,31624,31656,0
-3,-17,14,29158,27148,36690,31434,31656,0
4,27,-62,29245,27256,36690,31434,31752,0
-10,29,-9,29187,27148,36424,31339,31465,0
34,-2,-16,29509,27256,36462,31276,31752,0
12,58,13,29274,27175,36728,31593,31497,0
8,-28,-2,29627,27256,36652,31339,31465,0
20,24,-1,29391,27283,36386,31465,31465,0
14,16,19,29509,27202,36348,31402,31688,0
-12,6,-14,29304,27148,36499,31339,31465,0
-6,6,-16,29391,27202,36348,31339,31720,0
-26,-29,-11,29421,27148,36614,31561,31561,0
10,-2,-17,29391,27095,36614,31370,31370,0
11,-28,15,29391,27256,36614,31339,31370,0
-2,9,-3,29245,27068,36614,31213,31434,0
-21,11,9,29333,27256,36538,31244,31402,0
-4,15,15,29362,27202,36614,31370,31402,0
20,11,-26,29391,27175,36614,31529,31434,0
8,14,0,29362,27041,36652,31497,31593,0
-5,-34,-17,29333,27256,36310,31244,31624,0
1,27,-11,29333,27256,36310,31497,31624,0
